pair_ID	resume	jd	score
50	"Languages: Java, SQL, Python, JavaScript, bash"	"two+ years of increasingly progressive experience (flexible) and three+ years programming experience in Java, C#, JavaScript, Python, Ruby or equivalent (flexible);"	three
51	"DevOps tools, Terraform"	Experience with infrastructure-as-code principles and tools like Terraform or equivalent	five
52	Linux System Administration	five+ years of diverse working experience in IT infrastructure as Linux system administrator and/or DevOps/SRE engineer	five
53	Google Cloud Platform	"Understanding of security controls/services in public cloud environments (AWS, Azure or Google Cloud Platform)."	five
54	Linux server administration	"Experience with Linux administration, shell scripting, and open source security tools"	three
55	MS in Computer Science	"Master’s degree in Computer Science, Engineering, or equivalent subject"	five
56	Data structures & algorithms	"Excellent programming skills in Java and Python and a solid foundation in computer science with strong competencies in data structures, algorithms, and databases"	two
57	June two0onetwo–present Software engineer • Google.	three+ years of experience in software engineering	five
58	"Spring, PostgreSQL, GIS, Microservice. Responsible for the development from the architectural solution to the final implementations of the business services."	Experience with relational databases (e.g. Postgres) and cloud-based storage solutions (e.g. AWS Sthree) and with microservice architectures and distributed systems	three
59	"C, Java, Perl, CGI, HTML, Make, CVS, Bourne Shell & misc. shell tools, Apache, Linux"	"Experience with Linux administration, shell scripting, and open source security tools"	three
60	Built a RESTful API	"Strong knowledge of cloud infrastructure technologies (AWS, Azure, GCP) and Kubernetes and in designing and implementing RESTful APIs as well as API specification tools (OpenAPI/Swagger)"	two
61	"Strong database skills (PostgreSQL, Oracle)"	"Strong grasp on at least one relational database system such as SAP Hana, Oracle, SQL Server, MySQL, PostgreSQL, or DBtwo"	five
62	Developed for web-based TV-ratings application AdViews in C# within an Agile development environment.	Knowledge of agile software development processes and experience with development processes driven by regular code reviews	three
63	"Reviewed individual customer status, informed qualifying customers on promotional offers."	"Effective communication skills, focusing on the presentation of technical information"	two
64	English: very good German: very good conversation and reading	Fluent in English and German is a must – both written and spoken	four
65	"I also have some knowledge of C, Python, IO, Scala and Go."	Programming experience in Scala or Go	three
66	Program Analysis through Graph-based Machine Learning	Hands-on experience with Data Science and Machine Learning projects	five
67	Developer advocate for greenfield SaaS project	Experience in early validation initiatives and/or SaaS startup experience is preferred	two
68	Wrote shell programs to convert data formats and special data input screens	"Computer skills: Python, familiarity with statistical analysis, shell programming"	three
69	English - good reading/writing	Language skills: Fluent English	five
70	"Recognized for team development, motivation, excellence in work, and community support"	"Soft skills: Willingness to learn, strong teamwork and presentation skills"	five
71	I’m passionate about learning and want to join an innovative team.	"Others: Determined to reach a goal in time, ability to work independently and to prioritize, pleasure in dealing with people, innovative and open-minded"	three
72	"Developing novel machine learning methods for random program generation, compiler optimisations, and representative benchmarking."	Prior research experience or internships related to machine learning	five
73	AWS Certified Developer	"Familiarity with cloud services such as AWS, Azure, etc."	five
74	Contributed to OpenCL port of Tensorflow	Experience with Deep Learning software packages such as Caffe/(Py)Torch/Theano/TensorFlow/MXNet	one
75	Ensure that all set standards are met by each QA Officer in fulfilling their duties and responsibilities.	Strong understanding of QA Processes; Practices & Methodologies.	five
76	"technical support including support management, training, and team building."	Ability to motivate and demonstrate technical leadership.	four
77	contribute my skills and expand my knowledge with a company serious about making authentic and innovative technology.	"Demonstrated independence, creativity and initiative and the ability to understand the company’s architecture and business goals."	five
78	"Skilled in building cross-functional teams, demonstrating exceptional communication skills and making critical decisions during challenges"	Ability to form strong cross-functional relationships and lead a cross organizational project team.	five
79	English Fluent	Excellent verbal and written communication skills in English.	four
80	I am a passionate individual with a meticulous approach to problem-solving	"Strong problem-solving skills, as well as the ability to read and code-review complex code written by others."	three
81	I push them to do their best while setting an example by working with them side-by-side.	"Strong team player, collaboration skills & ability to work under pressure."	five
82	Led TCO and cloud economics analysis for AWS as part of University Cloud Strategy development	Experience working on cloud (on-demand) software is highly preferred.	five
83	"Working with the Build/Integration Team on various home-grown build and test tools using C#, PHP, MySQL. Working on DO-one78B level A requirements based testing."	Experience working on Integration Platform Testing is highly preferred.	five
84	Selenium	Experience developing test cases using test automation and unit testing frameworks like jUnit and/or TestNG as well as Selenium two.0/three.0	three
85	"B.A., Computer Science & Mathematics"	"BS in Computer Science, MS a plus."	three
86	"Software Development Tools. Debuggers (GDB, DDD) , Version Control (GIT, BZR, SVN, CVS)"	"Experience using Bug Tracking, Test Case repository and Version Control Systems like Perforce and Git"	three
87	onetwo years in Java/Web development	Strong Core Java knowledge is highly preferred.	five
88	PostgresSQL	"Good Database concepts and experience, preferable with SAP Hana, Sybase and PostgresSQL."	five
89	Working as full stack developer. Mostly web based applications with Spring MVC as backend and Backbone or Angular as a front end.	"Desired additional skills: Maven, Micro services (Angular, Spring Boot),"	five
90	"Sets action plans and execute internal practices which involve aspects related to but not limited to technical issues, procedures, tools and general operational practices"	"Analyzes, defines, implements and executes quality and test related activities according to a given quality- and test strategy for the product area."	three
91	OOP Java (UCSD); Algorithms and Data Structures Specialization	"Good knowledge of OOAD, algorithms, data structures, multithreading, design patterns, programming best practices. OS and runtime"	three
92	test automation of complex apps	"Creates a detailed test design incl. test system landscape requirements and product standards, prepares tests (customizing & master data), authors and executes manual and/or automated tests."	three
93	Software Design (Java); OO Programming (Python)	"Experience developing software in Java, Golang, Python."	four
94		"Is subject matter expert in the team in terms of quality assurance and test related processes, methods and tools."	three
95	Develop relationships with existing and new clientele in effort to identify business opportunities in alignment with corporate strategy	Has basic product domain knowledge including relevant business processes & scenarios and a basic understanding of customer needs.	five
96	"Go, Scala"	Programming experience in Scala or Go	five
97	Kubernetes	"knowledge about BtwoB, Supply Chain processes and functionality, SAP UIfive, OData, Sybase, Cloud Platform Integration, Cloud Foundry, Kubernetes."	one
98	"Developed process improvement tools (JavaScript, jQuery, HTML, CSS)"	Has basic knowledge and technical competencies of relevant programming languages and related development tools and processes.	five
99	Collaborated using the SCRUM Agile methodology	Active participation in Scrum meetings and demos.	four
100	Responsible for updating content and adding features to security-focused websites.	Propose enhancements in the existing features & functionalities.	five
101	Graduated with a Master’s degree in Computer Science.	Masters degree in computer sciences or comparable work experience	five
102	Has strong analytical skills and can easily understand technical concepts	Strong analytical and logical skills	five
103	"Programming Languages: C#, Java, Perl, C/C++, SQL, PHP, JavaScript, Bourne Shell, Make."	"Strong software development skills in programming languages (Perl, Python, JAVA …)"	two
104	Designing RESTful APIs to interface with custom databases	"General web services development skills HTTP/HTTPS, RESTful APIs"	four
105	Specializing in bridging the gap between technical and soft skills and having a drive to overcome challenges by employing creative problem solving skills makes me a valuable asset to any team.	"Strong problem-solving skills, as well as the ability to read and code-review complex code written by others."	five
106	"Develop and manage technology projects and their cost, time and scope as defined by clients utilizing preferred project management methodologies"	Customer orientation with a strong focus on quality	five
107	Languages English German	Very good German and English language skills fluent in spoken and written	four
108	Contributed to Amazon Cloud Formation code for our DevOps repository to set up our infrastructure	"Experience with usage of Public Cloud Infrastructures (Google Cloud Platform, AWS, Azure etc.) is a plus"	five
109	Developed comprehensive security rules. Implemented integration with LDAP.	"Experience with central infrastructure services (DNS, LDAP, NTP, mail) is a plus"	three
110	linux SUSE	"Linux OS administration, SuSE Linux Enterprise and Xen knowhow are of advantage"	five
111	Lead designer and implementer of integration with Puppet	"Configuration management automation knowhow (Chef, Puppet, Ansible)"	five
112	Cloud Computing Strategy (IaaS/PaaS/SaaS);	Experience/Knowhow of Cloud IAAS and PAAS offerings	five
113	the product manager / IT business manager to the Flagship Product when meeting with clients to ensure that business process is being achieved through the implementation of the products	Strong project management skills; strong orientation towards results	five
114	Managed simultaneous client relationships by ensuring results were delivered on time according to specific client needs and adhered to all quality specifications	experience in project management across teams	five
115	"JavaScript, Java, HTML, CSS"	"Prior (work) experience with Javascript, CSS and HTML"	five
116	"Operating Systems: Windows, Linux Languages: Java, C++"	"programming experience in Java or C++; in Linux, Windows, and/or Mac environment"	five
117	Studied Computer Science	·Design/development skills including experience driving projects from concept to prototype to production	three
118	MSCS-Computer Science and Information Systems	Master's Degree in Computer Science or related field	five
119	"Operating Systems: Windows XP Professional, UNIX, Linux, Mac OS X, Solaris."	Experience building complex software systems that have been successfully delivered to customers	five
120	Software engineer with more than twenty years of experience as a full life-cycle developer within Windows and Linux environments	"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations"	five
121	MS in Computer Science	"Programming experience in at least one modern programming language such as C, C++, C#, or Java"	five
122	"Provide efficient, courteous customer service and assist in all aspects of product offerings and services"	Strong focus on customers and operational excellence	five
123	"I possess strong communications skills, keen analytical insight, an ability to rapidly grasp high-level organizational needs and objectives, and a depth of technical knowledge and experience."	"Experience in communicating with users, other technical teams and management to collect requirements, describe software product features, and technical designs"	five
124	"C, C++, Java"	"Bachelor's degree in computer science, engineering, mathematics, or a related technical discipline, or equivalent experience"	five
125	Tableau	"· Experience using business intelligence reporting tools (Tableau, Business Objects, Cognos etc.)"	five
126	Data stored and analyzed in Oracle database using SQL	· Knowledge of data management fundamentals and data storage principles	three
127	Designed and developed ETL tools	"· Demonstrated strength in data modeling, ETL development, and data warehousing"	five
128	"I've been using sthree, ectwo and a few other amazon services to build scalable apps for a while now."	"Experience working with AWS big data technologies (Redshift, Sthree, EMR)"	five
129	jQuery	"You have used jQuery or at least one UI framework like Angular, React, …"	five
130	Mentored new employees on current projects and company specific requirements to bring them up to speed quickly	· Experience providing technical leadership and mentoring other engineers for best practices on data engineering	three
131	"Planned, designed, and developed software. Maintenance including upgrades, patches, code releases, and database changes"	"· Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations"	five
132	"Bachelor of Science (B.Sc.) , Computer Science"	Bachelor's degree in computer science or related technical discipline or industry experience.	five
133	worked on newer versions of the Linux kernel and Linux distributions	experience writing core Linux kernel code.	five
134	Software Developer two008 - Present	· two+ years of experience doing hands-on software development.	five
135	debug any issues I came across	Demonstrated experience in debugging and developing features in low-level software stack.	three
136	C++ on Linux platform	· Experience in writing middleware in C/C++/Go on Linux	five
137	Patched vulnerabilities and bugs in open source software with millions of users: Linux kernel	"· A desire to contribute to an environment where everyone wants to work hard, have fun, and to make history."	five
138	Software Developer	experience as a software developer	five
139	I am a technical manager with a history of building a strong team by hiring talented employees.	experience managing people	five
140	Object Oriented Programming Language Java	"• Software development experience in OOP, Java or C++"	five
141	implemented AWS rebilling service supporting over one00 linked accounts.	"Experience designing, developing, and deploying enterprise solutions using Amazon Web Services"	three
142	"Python, C++, SQL, Bash, JavaScript, C, OpenCL, Java, Go."	• Deep hands-on technical expertise	five
143	"M.S., Computer Science,"	BE / B Tech / MCA / ME / M Tech / Ph.D. in Computer Science or related fields.	five
144	"Leading team responsible for developing, maintaining, testing and implementing web-based environment"	leading the product development.	five
145	"Three years with Java, C"	"Proficiency in, at least, one modern programming language such as C, C++, C#, or Java"	five
146	Cross-Platform Development	"Experience in conception, design & delivery of cross platform software"	five
147	Identified numerous operational opportunities and implemented new solutions to improve efficiency and quality	Experience in defining processes and establishing mechanisms that improves the efficiency of software development for customers and developers	four
148	Also designing and managing the database using MYSQL	Experienced in handling large data sets using SQL and databases in a business environment.	five
149	Have good communication skills	Excellent verbal and written communication.	five
150	B.A. Computer Science	Strong troubleshooting and problem solving skills.	five
151	Have ability to learn a new thing quickly	"Thrive in a fast-paced, innovative environment."	five
152	Professional software designer and developer	Development experience creating application software.	five
153	designed to eliminate the burden of infrastructure management and system maintenance of a cloud-based application platform	"Experience developing cloud software services and an understanding of design for scalability, performance and reliability."	four
154	"Experience with service oriented architecture (REST, SOAP)"	"Development experience defining, developing and maintaining REST based interfaces."	three
155	PROGRAMMING Java Python Arduino (C) Unity (C#)	Excellence in technical communication with peers and non-technical cohorts.	five
156	Manage the team of five developers	Demonstrated ability to mentor other software developers to maintain architectural vision and software quality.	five
157	Eight years experience using the latest in Python	"three+ years of experience with data scripting languages (e.g SQL, Python, R etc.)"	five
158	"AWS (cloudformation, ECtwo, Sthree, SNS/SQS & cost optimization)"	"Experience using AWS technologies such as Redshift, Sthree, EMR and data pipelines"	five
159	Writing and maintaining functional and technical documentation as needed to support environments	Excellent writing skills for both technical and business-facing documents.	four
160	"MASTER OF SCIENCE, TECHNOLOGY. Data Analysis and Analytics. Scientist"	"· Master’s degree in Statistics, Applied Math, Economics, Computer Science, or a related quantitative field with at least two years of working experience as a Data Scientist."	five
161	Amazon Web Services	"hands-on experience on one or more of AWS, Azure or GCP,"	five
162	"Implemented several system improvements and provide exceptional customer service, dramatically reducing problems and issues with the system."	"· Strong data analysis, problem solving skills, strategic thinking, attention to detail and bias for delivering results"	three
163	"Skilled troubleshooting, problem solving,"	· Expertise in deriving insights from big data analyses to solve business and technical problems	three
164	Provided customers with information. Proven Customer Service skills	"· Strong interpersonal and communication skills, along with ability to explain complex technical concepts and analysis implications clearly across different audiences and varying levels of the organization"	three
165	"customer service representative . Maintain strong knowledge of all products, accessories, pricing plans, promotions and service features. Handle service inquiries from customers"	"· Excellent customer intuition and demonstrated success in identifying and prioritizing business questions, and using quantitative techniques using available data to deliver solutions to address these questions"	four
166	I have developed an appreciation for creative processes	"Ability to think innovatively and creatively about ambiguous technical, product and business problems"	three
167	I manage an international team of up to onethree people who provide twofour / 7 daily build support	"Strong record of leading international teams, and working with partners internationally"	five
168	Lead and mentor a cross-functional team of designers and developers	Experience guiding and mentoring software development engineers	five
169	I appreciate good design and architecture.	"· Strong design, architecture, and problem solving skills"	five
170	Currently investigating program representations and machine learning models for analysis and optimization.	data analytics and machine learning experience in products or services businesses	five
171	Technical Writer	· Excellent written and verbal communication with the ability to present complex technical information in a clear and concise manner to a variety of technical and non-technical audiences	three
172	To work in an environment where culture and teamwork are important	· Demonstrated track record of cultivating strong working relationships and driving collaboration across multiple technical and business teams	four
173	End-to-end Deep Learning	"Deep understanding of regression modeling, forecasting techniques,machine-learning concepts such as supervised and unsupervised learning, classification, random forest, etc."	two
174	Participated in business analyst projects to improve operational efficiency using new technologies	"Prior experience leading teams of Applied/Data Scientists, Data Engineers, Software Engineers and Analysts"	three
175	Improved database efficiencies by reworking schema and SQL queries	"· Exposure to big data: extraction, processing, filtering, and presenting large data quantities (one00K to Millions of rows) via AWS technologies, SQL, and data pipelines"	two
176	Program Analysis through Graph-based Machine Learning	"Experience in Machine learning (decision trees, multivariate and logistic regression, kNN, kMeans, deep learning, etc.)."	four
177	"SQL, python"	· Experience with SQL and at least one scripting language (preferable Python)	five
178	Automated the system backup process	Experience writing scripts to manipulate data or automate data pipelines	five
179	"Exceptional writing skills, including the ability to prepare product descriptions, procedural documentation, instructional materials, and reports that can be easily understood by technical and non-technical readers alike."	· Ability to communicate technical concepts and solutions at a level appropriate for technical and non-technical audiences	five
180	"Languages C++, Pascal, Lisp, Scheme, Perl, Java"	coding in Java or C++ or related technologies	five
181	SR SOFTWARE ENGINEER	experience managing software engineering teams	five
182	I led multiple projects	· Proven leadership skills and teamwork skills	five
183	"High degree of professionalism, with a knack for interpersonal communication,"	Excellent verbal and written communication skills.	five
184	"Tasked with training the developers on new tools, technologies, and processes"	You easily move into new topics and enjoy working with latest technologies	five
185	Excel spreadsheet program. MS Word word-processing application. PowerPoint presentation program	"Computer skills: Microsoft Office skills primarily in Excel and PowerPoint; technology skills in the area of e.g. Data Modelling, Business"	five
186	"Fluent in Java, Javascript, Python, Django, HTML/CSS, Git. Proficient in AngularJS, SQL , Scheme, Ruby"	"Software Development (e.g. Java, Java Script, Angular, React, HTMLfive, Ruby, Python)"	five
187	Linux Administrator	"Linux, Windows and networking knowledge"	two
188	"Amazon Web Services (AWS) Architecture; AWS Cost 
Analysis and Optimization;"	"Good understanding of modern automation, build and cloud technologies (Chef, Puppet, Kubernetes, AWS, Azure, Docker, Jenkins, 
Bamboo or similar)"	three
189	Conducted statistical and time series analysis	Deep understanding time series analysis	five
190	"Algorithms, Artificial Intelligence, Optimization, Software Engineering, Theory of Computing Abstract Algebra, Linear Algebra, Real Analysis, Set Theory, Topology, Mathematical Logic"	"· Experience in developing machine-learning algorithms, statistical and mathematical optimization models, and simulation and visualization tools"	five
191	"Javascript, HTML, and CSS/Sass"	"Frontend development experience (HTMLfive, CSS, JavaScript)"	five
192	Back-End (Server-side)	Backend development experience (PHP and Wordpress)	three
193	"Gulp, Git, Node.js"	"DevOps and Tooling Experience (Git, Node, Gulp, etc.)"	five
194	Improved quarterly deliverable process by leveraging MySQL relational database	MySQL experience or willingness to learn	five
195	Expertise in Adobe Creative Suite	"Experience with design tools such as Axure, Sketch, InVision, Framer or Adobe Creative Cloud to create software interface prototypes"	five
196	Design and implement customerfacing and internal admin UI/UX and associated backend code.	In-depth understanding about Design Thinking and Lean UX principles	three
197	"Software Development Methodologies. Agile software development (Kanban, Scrum, Continuous Integration, Test driven development)"	"Experience with agile software engineering processes (Kanban, Scrum) in context of enterprise software development"	five
198	I migrated the solution to a real-time Linux system	Strong Linux skills	four
199	Currently investigating program representations and machine learning models for analysis and optimization. Postdoctoral Researcher	"· PhD in Statistics, Mathematics, Business Analytics, or related quantitative discipline."	five
200	"Maintenance, development & data mining"	· Experience applying data mining techniques in an industrial setting.	three
201	"UX Engineer, UX Designer"	"Experience with UX research - design of experiments, moderation, note taking, data synthesis"	two
202	Developed Python program that uses statistical analysis	"Fluency in a scripting or computing language (e.g. Python, R, Java, C++, etc.)"	five
203	"Languages Java, Python,"	"Strong software development skills in programming languages (Perl, Python, JAVA …)"	five
204	mentored test driven development techniques and scrum backlog maintenance and tracking	· Experience with agile/scrum methodologies and its benefits of keeping scientists on track and iteratively delivering results.	three
205	Advanced user skills: UNIX	Experience and Strong Knowledge of Windows and Unix/Linux server Administration	three
206	Experienced with SQL optimizations	· Expert knowledge of SQL	four
207	"MS Office , MS Teams, Skype , Zoom"	"Computer skills: Microsoft products (especially Excel, PowerPoint) is required, while Skype, MS Teams and JIRA is a plus"	three
208	Skills developed: SQL (Data importing / cleaning)	· Hands-on experience and advanced knowledge of SQL.	five
209	"Oversaw implementation of new Data Warehouse environment, consolidating data from over 6 sources and using novel techniques to handle ETL of complex MongoDB source data"	"· Experience in Data Modeling, ETL Development, and Data Warehousing."	five
210	PowerBI	"· Experience using business intelligence reporting tools (Power BI, Tableau, Cognos, etc.)."	five
211	Spark	"· Experience using big data technologies (Hadoop, Hive, Hbase, Spark, EMR, etc.)."	five
212	Have a very high interest of Javascript and its progress	"Java, Java EE, Go Lang, JavaScript etc."	two
213	Ensure an extraordinary customer experience.	"· Strong customer focus, ownership, urgency, and drive."	five
214	"Coaching, mentoring, motivating and supervising team members and contractors, and influencing them to take positive action and accountability for assigned work"	Excellent communication skills and the ability to work well in a team.	five
215	"Troubleshoots hardware, software and network problems."	"Effective analytical, troubleshooting, and problem-solving skills."	five
216	Programming applications in Java	"Knowledge in JavaScript, python, Java"	three
217	"Programming Languages C++, Python, MATLAB, Bash, Scala"	"Advanced scripting skills in Python, PowerShell, Perl, Bash, Shell or another common language"	five
218	Administer TCP/IP-based radio network	"Experience with TCP/IP and network programming, can deploy VPCs & VPNs to public clouds"	five
219	Machine learning	"· Background in Big Data, non-relational databases, Machine Learning and Data Mining is a plus."	three
220	Has a proven track record in project implementation and team management	people management experience.	five
221	"Establish and assemble project teams, assign tasks based on skillsets critical to project completion and train as necessary"	"· Ability to effectively prioritize projects, manage multiple competing priorities simultaneously, and drive projects to completion under tight deadlines."	three
222	"Created Python/Django user interface to access, search, and modify data • Created data visualization dashboards with Google Charts"	"· one0+ years of hands-on industry experience delivering large analytical solutions with big business impact including data modeling, reporting, and visualization."	three
223	Hiring new employees	"· Experience hiring and leading data engineers, analysts, and scientists as well as a successful record of developing junior members along a successful career track."	two
224	Amazon Sthree	"Experience working with AWS technologies including Redshift, RDS, Sthree, EMR, Kinesis, ECtwo."	five
225	"Matlab, SQL"	"· Hands on experience with SQL and one of the following; R, Python, SAS, STATA, MATLAB (data extraction, manipulation, statistical analysis and predictive modeling)."	five
226	Dthree.js	"· Experience in data visualization and reporting, preferably in Tableau, Shiny, and/or Dthree.js."	five
227	Exceptional management and organization of priorities in high-volume production-oriented environments working as the leader or member of a team.	Proven track record of driving business strategy and decisions using executive level data communication skills.	three
228	Synthesizing Benchmarks for Predictive Modeling.	Ability to both quantify and communicate the value driven using predictive modeling	three
229	shiny	"· Experience in data visualization and reporting, preferably in Tableau, Shiny, and/or Dthree.js."	five
230	building Tableau reporting environmen	"· Experience in data visualization and reporting, preferably in Tableau, Shiny, and/or Dthree.js."	five
231	PowerBI	"· Experience in data visualization and reporting, preferably in Tableau, Shiny, and/or Dthree.js."	one
232	"Contributing to the project management, analysis, systems analyst, business analysis, user stories, prototyping, testing and maintenance of web systems and applications"	· Demonstrated experience with end-to-end project management from data analysis to action deployment.	four
233	Test-Driven/Behavior-Driven Development (TDD/BDD)	· Proven track record in driving customer/developer behavior using segmentation experimentation.	three
234	I feel that many businesses today do not understand or utilize advancements in technologies. I am motivated and intend to use my creative skills to help businesses bridge that disconnect.	"Ability to think big, understand business strategy, provide consultative business analysis, and leverage technical skills to create insightful, effective BI solutions"	three
235	Ability to communicate with customers of various levels.	"Excellent interpersonal skills, with the ability to communicate complex data issues correctly and clearly to both internal and external customers."	four
236	Bachelor of Computer Science	"Bachelor's degree or foreign equivalent in Computer Science, Engineering, Mathematics, or a related field"	five
237	"Software Architecture, Software Design, Software Configuration Management"	"experience in the job offered or as a Software Engineer, Software Developer, or a related occupation"	five
238	Also familiar with: C++	"distributed software applications, tools, systems and services using Java, Scala, Go, C#, or C++, and Object Oriented Design."	one
239	Senior software engineer with over three0 years of success	· five+ years of professional experience as a software engineer or related role.	five
